MMK1532,17.0,17.0,16.0,22.0,28.0,2.0,5.0,20.0,40.0,
NTB0710,46.0,37.0,32.0,22.0,21.0,2.0,2.0,9.0,10.0,
MTD0971,22.0,38.0,17.0,39.0,40.0,1.0,2.0,9.0,15.0,
NHB1529,41.0,40.0,20.0,44.0,25.0,2.0,5.0,20.0,40.0,
HBW0057,35.0,33.0,43.0,44.0,29.0,1.0,2.0,7.0,0.0,
PLM1716,23.0,17.0,13.0,36.0,34.0,2.0,5.0,19.0,36.0,
UKG0386,46.0,34.0,42.0,44.0,21.0,2.0,3.0,13.0,43.0,
GLC1055,15.0,48.0,40.0,17.0,29.0,1.0,3.0,13.0,28.0,
UCD0608,18.0,46.0,13.0,16.0,28.0,1.0,3.0,13.0,25.0,
CBN1983,46.0,38.0,32.0,28.0,15.0,1.0,2.0,8.0,9.0,
WFV0687,39.0,42.0,35.0,21.0,38.0,2.0,1.0,6.0,2.0,
ECD1434,40.0,45.0,36.0,13.0,36.0,1.0,5.0,20.0,40.0,
PCK0271,46.0,34.0,23.0,42.0,24.0,2.0,1.0,6.0,2.0,
TAG1610,40.0,11.0,24.0,23.0,30.0,1.0,5.0,19.0,36.0,
WTC0699,13.0,20.0,41.0,45.0,31.0,2.0,2.0,8.0,4.0,
TRB1093,44.0,43.0,24.0,34.0,29.0,1.0,5.0,20.0,39.0,
ASB0658,36.0,19.0,40.0,30.0,32.0,1.0,5.0,20.0,38.0,
DAC1641,36.0,45.0,26.0,46.0,36.0,1.0,5.0,20.0,41.0,
SNC1721,50.0,33.0,14.0,14.0,28.0,2.0,5.0,19.0,36.0,
UAM1108,19.0,38.0,30.0,41.0,30.0,1.0,5.0,20.0,39.0,
DNW0899,43.0,10.0,15.0,42.0,30.0,2.0,1.0,6.0,3.0,
NRO1752,33.0,16.0,18.0,45.0,32.0,2.0,5.0,20.0,41.0,
TMT1509,36.0,44.0,20.0,23.0,34.0,2.0,5.0,19.0,35.0,
SNC0218,39.0,19.0,23.0,15.0,31.0,1.0,6.0,21.0,0.0,
MAS0783,20.0,15.0,24.0,14.0,33.0,2.0,2.0,10.0,20.0,
ACB1485,24.0,22.0,24.0,42.0,35.0,2.0,3.0,13.0,44.0,
SJC0232,14.0,17.0,34.0,19.0,35.0,2.0,3.0,0.0,0.0,
SKB1024,34.0,44.0,17.0,21.0,28.0,1.0,2.0,10.0,24.0,
JSB0803,16.0,40.0,27.0,39.0,39.0,2.0,2.0,10.0,22.0,
NBP0252,39.0,24.0,45.0,37.0,31.0,2.0,1.0,3.0,0.0,
CAH0595,34.0,30.0,38.0,23.0,27.0,1.0,2.0,10.0,22.0,
ACJ1797,23.0,32.0,19.0,26.0,32.0,1.0,3.0,13.0,31.0,
CKR1446,46.0,15.0,35.0,23.0,32.0,2.0,2.0,8.0,6.0,
RJW1406,47.0,39.0,31.0,23.0,34.0,1.0,5.0,19.0,35.0,
EBQ1246,42.0,40.0,19.0,23.0,33.0,2.0,3.0,13.0,26.0,
BCC1597,16.0,16.0,19.0,33.0,28.0,1.0,3.0,13.0,30.0,
