ACH1831,1 - Executive,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,
1 - Executive,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,30,1058.0,
1 - Executive,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,7,7.0,
1 - Executive,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,5,6.0,
2 - Executive,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,4,4.0,
1 - Executive,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,4,4.0,
2 - Executive,2 - ResearchAndEngineering,4 - Engineering,6 - TestAndEvalualtion,3,4.0,
2 - Executive,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,3,3.0,
1 - Executive,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,2,3.0,
1 - Executive,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,3,3.0,
2 - Executive,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,3,3.0,
1 - Executive,2 - ResearchAndEngineering,4 - Engineering,7 - SystemsEngineering,3,3.0,
2 - Executive,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,3,3.0,
1 - Executive,1 - Adminstration,6 - Security,2 - ElectronicSecurity,3,3.0,
2 - Executive,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,3,3.0,
2 - Executive,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,2,3.0,
1 - Executive,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,3,3.0,
1 - Executive,2 - ResearchAndEngineering,4 - Engineering,2 - MechanicalEngineering,3,3.0,
1 - Executive,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,3,3.0,
2 - Executive,2 - ResearchAndEngineering,2 - Research,5 - Lab,3,3.0,
2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,3 - EmbeddedSoftware,2,3.0,
2 - Executive,2 - ResearchAndEngineering,2 - Research,2 - Lab,3,3.0,
2 - Executive,2 - ResearchAndEngineering,2 - Research,3 - Lab,2,2.0,
1 - Executive,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,2,2.0,
1 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,1 - SQA,2,2.0,
1 - Executive,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,2,2.0,
1 - Executive,2 - ResearchAndEngineering,2 - Research,5 - Lab,2,2.0,
2 - Executive,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,2,2.0,
1 - Executive,1 - Adminstration,6 - Security,1 - BuildingSecurity,2,2.0,
1 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,7 - WebSoftware,1,2.0,
1 - Executive,2 - ResearchAndEngineering,2 - Research,4 - Lab,2,2.0,
2 - Executive,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,2,2.0,
1 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,5 - DesktopSoftware,2,2.0,
1 - Executive,2 - ResearchAndEngineering,2 - Research,3 - Lab,2,2.0,
2 - Executive,2 - ResearchAndEngineering,2 - Research,1 - Lab,2,2.0,
1 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,6 - EmbeddedSoftware,2,2.0,
1 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,2 - DesktopSoftware,2,2.0,
2 - Executive,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,2,2.0,
1 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,4 - WebSoftware,2,2.0,
1 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,3 - EmbeddedSoftware,2,2.0,
1 - Executive,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,2,2.0,
2 - Executive,2 - ResearchAndEngineering,4 - Engineering,1 - Publications,2,2.0,
2 - Executive,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,2,2.0,
2 - Executive,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,2,2.0,
1 - Executive,2 - ResearchAndEngineering,4 - Engineering,8 - TestAndEvalualtion,2,2.0,
2 - Executive,5 - SalesAndMarketing,1 - MarketAnalysis,,1,1.0,
1 - Executive,3 - Manufacturing,3 - Assembly,7 - AssemblyDept,1,1.0,
1 - Executive,2 - ResearchAndEngineering,4 - Engineering,4 - MaterialsEngineering,1,1.0,
1 - Executive,2 - ResearchAndEngineering,1 - ProjectManagement,,1,1.0,
2 - Executive,6 - PurchasingAndContracts,3 - Contracts,,1,1.0,
2 - Executive,1 - Adminstration,6 - Security,2 - ElectronicSecurity,1,1.0,
1 - Executive,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,1,1.0,
2 - Executive,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,1,1.0,
1 - Executive,5 - SalesAndMarketing,,,1,1.0,
1 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,,1,1.0,
1 - Executive,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,1,1.0,
1 - Executive,2 - ResearchAndEngineering,4 - Engineering,5 - SystemsEngineering,1,1.0,
2 - Executive,2 - ResearchAndEngineering,4 - Engineering,2 - MechanicalEngineering,1,1.0,
1 - Executive,6 - PurchasingAndContracts,,,1,1.0,
2 - Executive,4 - Finance,3 - FinancialPlanning,,1,1.0,
2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,5 - DesktopSoftware,1,1.0,
1 - Executive,6 - PurchasingAndContracts,1 - Purchasing,,1,1.0,
2 - Executive,1 - Adminstration,1 - Personnel,,1,1.0,
2 - Executive,6 - PurchasingAndContracts,1 - Purchasing,,1,1.0,
2 - Executive,2 - ResearchAndEngineering,2 - Research,4 - Lab,1,1.0,
2 - Executive,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,1,1.0,
2 - Executive,4 - Finance,1 - Accounting,,1,1.0,
2 - Executive,2 - ResearchAndEngineering,4 - Engineering,5 - SystemsEngineering,1,1.0,
2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,6 - EmbeddedSoftware,1,1.0,
1 - Executive,3 - Manufacturing,3 - Assembly,1 - Stockroom,1,1.0,
2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,1 - SQA,1,1.0,
1 - Executive,2 - ResearchAndEngineering,2 - Research,1 - Lab,1,1.0,
1 - Executive,1 - Adminstration,2 - EmployeeRelations,,1,1.0,
1 - Executive,2 - ResearchAndEngineering,2 - Research,6 - Lab,1,1.0,
2 - Executive,2 - ResearchAndEngineering,,,1,1.0,
1 - Executive,2 - ResearchAndEngineering,2 - Research,2 - Lab,1,1.0,
2 - Executive,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,1,1.0,
1 - Executive,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,1,1.0,
2 - Executive,2 - ResearchAndEngineering,4 - Engineering,3 - ElectricalEngineering,1,1.0,
