CERT5.2 Laid Off Company Relationships Counts for all Users
MMK1532,No,0,10,17,68,91
NTB0710,No,2,14,24,53,91
MTD0971,2010-10,2,3,10,34,54
NHB1529,No,0,10,17,68,91
HBW0057,2011-05,0,0,28,61,94
PLM1716,No,3,12,11,68,91
UKG0386,No,5,9,1,78,91
GLC1055,No,4,17,1,69,94
UCD0608,No,2,19,1,69,94
CBN1983,No,0,7,21,61,94
WFV0687,2010-10,3,2,2,47,50
ECD1434,No,2,15,19,58,94
PCK0271,2010-12,4,3,2,61,64
TAG1610,2010-06,2,4,4,18,30
WTC0699,No,0,11,28,53,91
TRB1093,No,5,12,19,58,94
ASB0658,No,4,13,19,58,94
DAC1641,No,2,14,19,58,94
SNC1721,No,3,12,11,68,91
UAM1108,2010-07,3,2,8,19,34
DNW0899,No,4,6,4,81,91
NRO1752,No,1,9,17,68,91
TMT1509,No,3,13,11,68,91
SNC0218,No,1,0,0,89,94
MAS0783,No,2,11,28,53,91
ACB1485,No,3,10,1,78,91
SJC0232,No,0,0,15,78,91
SKB1024,No,2,10,17,61,94
JSB0803,No,2,10,28,53,91
NBP0252,No,0,0,13,81,91
CAH0595,No,1,10,17,61,94
ACJ1797,No,5,16,1,69,94
CKR1446,No,0,11,28,53,91
RJW1406,No,3,15,18,58,94
EBQ1246,No,2,11,1,78,91
BCC1597,No,3,18,1,69,94
JMK1531,No,0,10,17,68,91
AGB0901,No,3,13,24,53,91
HSG1585,No,3,18,1,69,94
SFS1109,No,5,12,19,58,94
TLW1050,No,4,17,1,69,94
LTS1378,No,2,19,1,69,94
HDW0743,No,1,15,24,53,91
ZWS0755,No,1,12,28,53,91
DWR1387,No,3,15,18,58,94
GDC0055,No,1,10,17,61,94
ILG0879,2010-09,2,6,8,31,45
MAC1175,No,1,15,24,53,91
MCW0505,No,1,9,20,61,94
OAJ0244,No,1,0,12,81,91
BCB1715,No,3,12,11,68,91
GTC0614,No,2,18,1,69,94
BTG1551,No,5,6,28,53,91
JHP1654,2010-03,0,3,3,5,13
UTM0493,No,1,8,20,61,94
HTR0239,No,0,0,13,81,91
OCW1127,2010-05,0,2,1,19,19
WBK1077,No,4,15,18,58,94
KGL0178,No,1,0,0,89,94
EBG1553,No,3,12,11,68,91
TCC0771,No,2,11,28,53,91
KPM1002,No,0,11,17,61,94
PAG0429,No,3,7,17,68,91
RKC0355,No,0,0,15,78,91
TBM1476,No,3,10,1,78,91
KMC1934,No,4,12,11,68,91
JDS0177,No,0,0,1,89,94
LIJ1581,No,3,18,1,69,94
TCA1183,No,1,15,24,53,91
SJP1023,No,2,10,17,61,94
KEO0202,No,4,13,19,58,94
OHS0036,No,0,3,0,86,94
RKF0080,No,2,7,20,61,94
UMH1547,No,0,7,21,61,94
BCL1423,No,2,15,19,58,94
DCD0715,No,2,14,24,53,91
KBG1201,No,1,12,28,53,91
GAF1862,No,2,15,19,58,94
CRR1966,No,3,7,17,68,91
CTM1817,No,5,16,1,69,94
DNT1801,No,5,16,1,69,94
DTC0840,No,5,9,1,78,91
VCM0992,No,0,11,17,61,94
KJW1664,No,5,6,28,53,91
BOS1170,No,1,15,24,53,91
CAB1886,No,1,10,28,53,91
DHP0732,No,2,15,24,53,91
JDG0255,No,1,0,12,81,91
RFC1991,No,0,7,21,61,94
DZH1867,No,2,15,19,58,94
MTP1582,2011-05,2,18,1,69,94
PKS1187,2010-05,0,2,5,15,19
LRW1357,No,2,19,1,69,94
CLG0516,No,0,9,20,61,94
HMW0602,No,2,19,1,69,94
QGC0435,No,3,7,17,68,91
JDR0004,No,0,0,0,93,91
RMB1821,2010-02,0,0,1,5,6
XBK0246,2011-04,0,0,10,78,84
HMM1058,No,4,17,1,69,94
LNS0317,No,1,15,24,53,91
KDL1901,No,2,12,1,78,91
LKL1895,No,2,12,1,78,91
BGR0917,No,1,3,0,86,94
MSS0799,No,2,10,28,53,91
PHY0730,No,2,15,24,53,91
MME1034,No,4,17,1,69,94
NRR1835,No,4,14,18,58,94
PCB0567,No,0,11,17,61,94
AKP0503,No,1,8,20,61,94
MHP1377,No,2,19,1,69,94
OCD1985,2010-06,0,2,7,20,29
IYH1611,No,6,13,18,58,94
DSH1074,No,4,15,18,58,94
LHD1233,No,2,11,28,53,91
CAG1416,No,2,15,19,58,94
HRR0079,No,2,7,20,61,94
VCF1602,2010-08,3,5,8,22,41
ZOC0154,No,2,18,1,69,94
ACM1770,No,2,12,1,78,91
PRL0965,No,3,7,20,61,94
RAS0197,No,2,18,18,58,94
NKN1405,No,3,15,18,58,94
KCL0099,No,0,11,17,61,94
DMP0344,2010-09,0,4,12,31,45
JGB1393,No,3,15,18,58,94
MKR1094,No,5,12,19,58,94
ACB1087,No,4,15,18,58,94
CBH1635,No,2,14,19,58,94
ARG1264,No,2,11,1,78,91
FAD1863,No,2,15,19,58,94
LHA0303,No,2,14,24,53,91
JJH0862,No,4,11,11,68,91
CCP1460,No,3,10,1,78,91
NCU1166,No,3,13,24,53,91
AWW1749,No,1,9,17,68,91
CRD0272,2010-07,2,1,2,29,33
HMI1448,No,0,11,28,53,91
SCC0379,No,5,9,1,78,91
NIM1282,No,2,14,11,68,91
KBR0575,No,0,11,17,61,94
MEB1743,No,1,9,17,68,91
GUT1619,No,6,13,18,58,94
MUP1819,No,4,14,18,58,94
WOG0797,No,1,12,28,53,91
DCC1119,2011-01,3,5,2,65,69
UGB0031,No,0,0,3,86,94
DHP1989,No,0,7,21,61,94
SFG1360,No,2,19,1,69,94
IKB0691,No,0,11,28,53,91
CBC1607,No,6,13,18,58,94
KWM0365,No,0,0,15,78,91
DHR1157,2010-12,1,10,16,40,64
GKG1693,No,1,13,1,78,91
HVM1288,No,2,14,11,68,91
AKS0586,No,1,10,17,61,94
YHO0982,No,1,8,20,61,94
DEO1964,2010-09,2,6,8,31,45
CTT0639,2010-11,1,12,12,33,61
CBK0185,No,0,0,34,58,94
KMH0529,No,1,10,17,61,94
DLH0679,No,1,9,4,81,91
CAP0471,No,3,1,0,86,94
ANM0830,No,5,9,1,78,91
ZOF1559,No,0,7,21,61,94
JIP1220,No,2,11,28,53,91
KJN0240,No,1,0,12,81,91
