LDAP on BU/FU/DPT/TEAM in CERT5.2	143
['', '', '', '']
['1 - Executive', '', '', '']
['1 - Executive', '1 - Adminstration', '', '']
['1 - Executive', '1 - Adminstration', '1 - Personnel', '']
['1 - Executive', '1 - Adminstration', '2 - EmployeeRelations', '']
['1 - Executive', '1 - Adminstration', '3 - Training', '']
['1 - Executive', '1 - Adminstration', '4 - Safety', '']
['1 - Executive', '1 - Adminstration', '5 - Medical', '']
['1 - Executive', '1 - Adminstration', '6 - Security', '']
['1 - Executive', '1 - Adminstration', '6 - Security', '1 - BuildingSecurity']
['1 - Executive', '1 - Adminstration', '6 - Security', '2 - ElectronicSecurity']
['1 - Executive', '1 - Adminstration', '6 - Security', '3 - ElectronicSecurity']
['1 - Executive', '2 - ResearchAndEngineering', '', '']
['1 - Executive', '2 - ResearchAndEngineering', '1 - ProjectManagement', '']
['1 - Executive', '2 - ResearchAndEngineering', '2 - Research', '']
['1 - Executive', '2 - ResearchAndEngineering', '2 - Research', '1 - Lab']
['1 - Executive', '2 - ResearchAndEngineering', '2 - Research', '2 - Lab']
['1 - Executive', '2 - ResearchAndEngineering', '2 - Research', '3 - Lab']
['1 - Executive', '2 - ResearchAndEngineering', '2 - Research', '4 - Lab']
['1 - Executive', '2 - ResearchAndEngineering', '2 - Research', '5 - Lab']
['1 - Executive', '2 - ResearchAndEngineering', '2 - Research', '6 - Lab']
['1 - Executive', '2 - ResearchAndEngineering', '3 - SoftwareManagement', '']
['1 - Executive', '2 - ResearchAndEngineering', '3 - SoftwareManagement', '1 - SQA']
['1 - Executive', '2 - ResearchAndEngineering', '3 - SoftwareManagement', '2 - DesktopSoftware']
['1 - Executive', '2 - ResearchAndEngineering', '3 - SoftwareManagement', '3 - EmbeddedSoftware']
['1 - Executive', '2 - ResearchAndEngineering', '3 - SoftwareManagement', '4 - WebSoftware']
['1 - Executive', '2 - ResearchAndEngineering', '3 - SoftwareManagement', '5 - DesktopSoftware']
['1 - Executive', '2 - ResearchAndEngineering', '3 - SoftwareManagement', '6 - EmbeddedSoftware']
['1 - Executive', '2 - ResearchAndEngineering', '3 - SoftwareManagement', '7 - WebSoftware']
['1 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '']
['1 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '1 - Publications']
['1 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '2 - MechanicalEngineering']
['1 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '3 - ElectricalEngineering']
['1 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '4 - MaterialsEngineering']
['1 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '5 - SystemsEngineering']
['1 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '6 - TestAndEvalualtion']
['1 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '7 - SystemsEngineering']
['1 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '8 - TestAndEvalualtion']
['1 - Executive', '3 - Manufacturing', '', '']
['1 - Executive', '3 - Manufacturing', '1 - IndustrialEngineering', '']
['1 - Executive', '3 - Manufacturing', '2 - ManufacturingEngineering', '']
['1 - Executive', '3 - Manufacturing', '3 - Assembly', '']
['1 - Executive', '3 - Manufacturing', '3 - Assembly', '1 - Stockroom']
['1 - Executive', '3 - Manufacturing', '3 - Assembly', '2 - AssemblyDept']
['1 - Executive', '3 - Manufacturing', '3 - Assembly', '3 - Stockroom']
['1 - Executive', '3 - Manufacturing', '3 - Assembly', '4 - AssemblyDept']
['1 - Executive', '3 - Manufacturing', '3 - Assembly', '5 - AssemblyDept']
['1 - Executive', '3 - Manufacturing', '3 - Assembly', '6 - AssemblyDept']
['1 - Executive', '3 - Manufacturing', '3 - Assembly', '7 - AssemblyDept']
['1 - Executive', '3 - Manufacturing', '3 - Assembly', '8 - AssemblyDept']
['1 - Executive', '3 - Manufacturing', '4 - QualityControl', '']
['1 - Executive', '4 - Finance', '', '']
['1 - Executive', '4 - Finance', '1 - Accounting', '']
['1 - Executive', '4 - Finance', '2 - Payroll', '']
['1 - Executive', '4 - Finance', '3 - FinancialPlanning', '']
['1 - Executive', '5 - SalesAndMarketing', '', '']
['1 - Executive', '5 - SalesAndMarketing', '1 - MarketAnalysis', '']
['1 - Executive', '5 - SalesAndMarketing', '2 - Sales', '']
['1 - Executive', '5 - SalesAndMarketing', '2 - Sales', '1 - RegionalSales']
['1 - Executive', '5 - SalesAndMarketing', '2 - Sales', '2 - RegionalSales']
['1 - Executive', '5 - SalesAndMarketing', '2 - Sales', '3 - RegionalSales']
['1 - Executive', '5 - SalesAndMarketing', '2 - Sales', '4 - RegionalSales']
['1 - Executive', '5 - SalesAndMarketing', '2 - Sales', '5 - RegionalSales']
['1 - Executive', '5 - SalesAndMarketing', '3 - FieldService', '']
['1 - Executive', '5 - SalesAndMarketing', '3 - FieldService', '1 - RegionalFieldService']
['1 - Executive', '5 - SalesAndMarketing', '3 - FieldService', '2 - RegionalFieldService']
['1 - Executive', '5 - SalesAndMarketing', '3 - FieldService', '3 - RegionalFieldService']
['1 - Executive', '5 - SalesAndMarketing', '3 - FieldService', '4 - RegionalFieldService']
['1 - Executive', '5 - SalesAndMarketing', '3 - FieldService', '5 - RegionalFieldService']
['1 - Executive', '6 - PurchasingAndContracts', '', '']
['1 - Executive', '6 - PurchasingAndContracts', '1 - Purchasing', '']
['1 - Executive', '6 - PurchasingAndContracts', '2 - Pricing', '']
['1 - Executive', '6 - PurchasingAndContracts', '3 - Contracts', '']
['2 - Executive', '', '', '']
['2 - Executive', '1 - Adminstration', '', '']
['2 - Executive', '1 - Adminstration', '1 - Personnel', '']
['2 - Executive', '1 - Adminstration', '2 - EmployeeRelations', '']
['2 - Executive', '1 - Adminstration', '3 - Training', '']
['2 - Executive', '1 - Adminstration', '4 - Safety', '']
['2 - Executive', '1 - Adminstration', '5 - Medical', '']
['2 - Executive', '1 - Adminstration', '6 - Security', '']
['2 - Executive', '1 - Adminstration', '6 - Security', '1 - BuildingSecurity']
['2 - Executive', '1 - Adminstration', '6 - Security', '2 - ElectronicSecurity']
['2 - Executive', '1 - Adminstration', '6 - Security', '3 - ElectronicSecurity']
['2 - Executive', '2 - ResearchAndEngineering', '', '']
['2 - Executive', '2 - ResearchAndEngineering', '1 - ProjectManagement', '']
['2 - Executive', '2 - ResearchAndEngineering', '2 - Research', '']
['2 - Executive', '2 - ResearchAndEngineering', '2 - Research', '1 - Lab']
['2 - Executive', '2 - ResearchAndEngineering', '2 - Research', '2 - Lab']
['2 - Executive', '2 - ResearchAndEngineering', '2 - Research', '3 - Lab']
['2 - Executive', '2 - ResearchAndEngineering', '2 - Research', '4 - Lab']
['2 - Executive', '2 - ResearchAndEngineering', '2 - Research', '5 - Lab']
['2 - Executive', '2 - ResearchAndEngineering', '2 - Research', '6 - Lab']
['2 - Executive', '2 - ResearchAndEngineering', '3 - SoftwareManagement', '']
['2 - Executive', '2 - ResearchAndEngineering', '3 - SoftwareManagement', '1 - SQA']
['2 - Executive', '2 - ResearchAndEngineering', '3 - SoftwareManagement', '2 - DesktopSoftware']
['2 - Executive', '2 - ResearchAndEngineering', '3 - SoftwareManagement', '3 - EmbeddedSoftware']
['2 - Executive', '2 - ResearchAndEngineering', '3 - SoftwareManagement', '4 - WebSoftware']
['2 - Executive', '2 - ResearchAndEngineering', '3 - SoftwareManagement', '5 - DesktopSoftware']
['2 - Executive', '2 - ResearchAndEngineering', '3 - SoftwareManagement', '6 - EmbeddedSoftware']
['2 - Executive', '2 - ResearchAndEngineering', '3 - SoftwareManagement', '7 - WebSoftware']
['2 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '']
['2 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '1 - Publications']
['2 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '2 - MechanicalEngineering']
['2 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '3 - ElectricalEngineering']
['2 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '4 - MaterialsEngineering']
['2 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '5 - SystemsEngineering']
['2 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '6 - TestAndEvalualtion']
['2 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '7 - SystemsEngineering']
['2 - Executive', '2 - ResearchAndEngineering', '4 - Engineering', '8 - TestAndEvalualtion']
['2 - Executive', '3 - Manufacturing', '', '']
['2 - Executive', '3 - Manufacturing', '1 - IndustrialEngineering', '']
['2 - Executive', '3 - Manufacturing', '2 - ManufacturingEngineering', '']
['2 - Executive', '3 - Manufacturing', '3 - Assembly', '']
['2 - Executive', '3 - Manufacturing', '3 - Assembly', '1 - AssemblyDept']
['2 - Executive', '3 - Manufacturing', '3 - Assembly', '2 - AssemblyDept']
['2 - Executive', '3 - Manufacturing', '3 - Assembly', '3 - AssemblyDept']
['2 - Executive', '3 - Manufacturing', '3 - Assembly', '4 - AssemblyDept']
['2 - Executive', '3 - Manufacturing', '3 - Assembly', '5 - AssemblyDept']
['2 - Executive', '3 - Manufacturing', '3 - Assembly', '6 - AssemblyDept']
['2 - Executive', '3 - Manufacturing', '4 - QualityControl', '']
['2 - Executive', '4 - Finance', '', '']
['2 - Executive', '4 - Finance', '1 - Accounting', '']
['2 - Executive', '4 - Finance', '2 - Payroll', '']
['2 - Executive', '4 - Finance', '3 - FinancialPlanning', '']
['2 - Executive', '5 - SalesAndMarketing', '', '']
['2 - Executive', '5 - SalesAndMarketing', '1 - MarketAnalysis', '']
['2 - Executive', '5 - SalesAndMarketing', '2 - Sales', '']
['2 - Executive', '5 - SalesAndMarketing', '2 - Sales', '1 - RegionalSales']
['2 - Executive', '5 - SalesAndMarketing', '2 - Sales', '2 - RegionalSales']
['2 - Executive', '5 - SalesAndMarketing', '2 - Sales', '3 - RegionalSales']
['2 - Executive', '5 - SalesAndMarketing', '2 - Sales', '4 - RegionalSales']
['2 - Executive', '5 - SalesAndMarketing', '2 - Sales', '5 - RegionalSales']
['2 - Executive', '5 - SalesAndMarketing', '3 - FieldService', '']
['2 - Executive', '5 - SalesAndMarketing', '3 - FieldService', '1 - RegionalFieldService']
['2 - Executive', '5 - SalesAndMarketing', '3 - FieldService', '2 - RegionalFieldService']
['2 - Executive', '5 - SalesAndMarketing', '3 - FieldService', '3 - RegionalFieldService']
['2 - Executive', '5 - SalesAndMarketing', '3 - FieldService', '4 - RegionalFieldService']
['2 - Executive', '5 - SalesAndMarketing', '3 - FieldService', '5 - RegionalFieldService']
['2 - Executive', '6 - PurchasingAndContracts', '', '']
['2 - Executive', '6 - PurchasingAndContracts', '1 - Purchasing', '']
['2 - Executive', '6 - PurchasingAndContracts', '2 - Pricing', '']
['2 - Executive', '6 - PurchasingAndContracts', '3 - Contracts', '']
