MMK1532,17.0,17.0,16.0,22.0,28.0,2.0,5.0,20.0,40.0,
NTB0710,46.0,37.0,32.0,22.0,21.0,2.0,2.0,9.0,10.0,
NHB1529,41.0,40.0,20.0,44.0,25.0,2.0,5.0,20.0,40.0,
PLM1716,23.0,17.0,13.0,36.0,34.0,2.0,5.0,19.0,36.0,
UKG0386,46.0,34.0,42.0,44.0,21.0,2.0,3.0,13.0,43.0,
WFV0687,39.0,42.0,35.0,21.0,38.0,2.0,1.0,6.0,2.0,
PCK0271,46.0,34.0,23.0,42.0,24.0,2.0,1.0,6.0,2.0,
WTC0699,13.0,20.0,41.0,45.0,31.0,2.0,2.0,8.0,4.0,
SNC1721,50.0,33.0,14.0,14.0,28.0,2.0,5.0,19.0,36.0,
DNW0899,43.0,10.0,15.0,42.0,30.0,2.0,1.0,6.0,3.0,
NRO1752,33.0,16.0,18.0,45.0,32.0,2.0,5.0,20.0,41.0,
TMT1509,36.0,44.0,20.0,23.0,34.0,2.0,5.0,19.0,35.0,
MAS0783,20.0,15.0,24.0,14.0,33.0,2.0,2.0,10.0,20.0,
ACB1485,24.0,22.0,24.0,42.0,35.0,2.0,3.0,13.0,44.0,
SJC0232,14.0,17.0,34.0,19.0,35.0,2.0,3.0,0.0,0.0,
JSB0803,16.0,40.0,27.0,39.0,39.0,2.0,2.0,10.0,22.0,
NBP0252,39.0,24.0,45.0,37.0,31.0,2.0,1.0,3.0,0.0,
CKR1446,46.0,15.0,35.0,23.0,32.0,2.0,2.0,8.0,6.0,
EBQ1246,42.0,40.0,19.0,23.0,33.0,2.0,3.0,13.0,26.0,
JMK1531,38.0,22.0,19.0,26.0,36.0,2.0,5.0,20.0,40.0,
AGB0901,22.0,44.0,15.0,26.0,30.0,2.0,2.0,9.0,14.0,
HDW0743,37.0,35.0,35.0,21.0,24.0,2.0,2.0,9.0,13.0,
ZWS0755,45.0,47.0,42.0,39.0,28.0,2.0,2.0,10.0,17.0,
ILG0879,48.0,21.0,16.0,22.0,21.0,2.0,5.0,20.0,38.0,
MAC1175,35.0,18.0,21.0,39.0,36.0,2.0,2.0,9.0,15.0,
OAJ0244,46.0,47.0,19.0,27.0,29.0,2.0,1.0,1.0,0.0,
BCB1715,40.0,31.0,40.0,19.0,30.0,2.0,5.0,19.0,36.0,
BTG1551,36.0,46.0,25.0,19.0,23.0,2.0,2.0,8.0,7.0,
HTR0239,37.0,42.0,33.0,20.0,28.0,2.0,1.0,3.0,0.0,
OCW1127,42.0,42.0,38.0,22.0,34.0,2.0,1.0,6.0,3.0,
EBG1553,24.0,13.0,45.0,30.0,33.0,2.0,5.0,19.0,36.0,
TCC0771,16.0,40.0,18.0,34.0,21.0,2.0,2.0,10.0,19.0,
PAG0429,45.0,15.0,42.0,22.0,28.0,2.0,5.0,20.0,38.0,
RKC0355,40.0,23.0,37.0,33.0,23.0,2.0,3.0,0.0,0.0,
TBM1476,34.0,33.0,28.0,14.0,30.0,2.0,3.0,13.0,44.0,
KMC1934,43.0,44.0,34.0,42.0,34.0,2.0,5.0,19.0,37.0,
