CERT5.2 LDAP Users
143
['': '': '': ''],ETW0002,
['1 - Executive': '': '': ''],NJC0003,PTH0005,
['1 - Executive': '1 - Adminstration': '': ''],BBB0012,CWC0006,
['1 - Executive': '1 - Adminstration': '1 - Personnel': ''],ABB0019,COB0021,HBF0022,JJS0013,TAJ0023,WCO0020,
['1 - Executive': '1 - Adminstration': '2 - EmployeeRelations': ''],KMM0014,NMM0026,TIR0025,UAR0024,
['1 - Executive': '1 - Adminstration': '3 - Training': ''],ANC0027,BDF0015,KMN0028,
['1 - Executive': '1 - Adminstration': '4 - Safety': ''],JCC0016,MEH0029,OFS0030,
['1 - Executive': '1 - Adminstration': '5 - Medical': ''],AKK0032,HDM0017,UGB0031,
['1 - Executive': '1 - Adminstration': '6 - Security': ''],DEM0018,SNO0033,
['1 - Executive': '1 - Adminstration': '6 - Security': '1 - BuildingSecurity'],ASH0458,CTK0037,FMP0459,GCW0456,GEM0462,JAC0457,JMW0038,NCC0454,ODB0034,OHS0036,OKH0453,ORB0455,QRF0039,TTG0460,VCH0461,XKB0040,
['1 - Executive': '1 - Adminstration': '6 - Security': '2 - ElectronicSecurity'],AJM0049,CAP0471,DBS0048,GCH0470,GKW0043,HFM0465,JPM0035,JSA0468,JWS0047,KCG0044,KCM0466,LAH0463,LSH0464,MAF0467,MAM0045,MAW0469,RLF0472,RVJ0046,SIS0042,SKV0041,XFK0050,
['1 - Executive': '1 - Adminstration': '6 - Security': '3 - ElectronicSecurity'],AAW0914,BGR0917,CHW0919,CKW0915,CTB0923,ERB0921,ESW0928,EZB0925,HJS0909,ILF0913,JDR0927,JKB0924,KJM0889,KLB0918,MIC0916,NSS0926,OQE0920,PRD0922,REL0910,SAM0911,XAW0912,
['1 - Executive': '2 - ResearchAndEngineering': '': ''],GMC0051,VBK0007,
['1 - Executive': '2 - ResearchAndEngineering': '1 - ProjectManagement': ''],FYC0060,HBW0057,KTS0058,RAH0052,RRS0056,TTM0059,
['1 - Executive': '2 - ResearchAndEngineering': '2 - Research': ''],CLN0061,CRG0063,DKC0053,KKP0064,LMG0065,
['1 - Executive': '2 - ResearchAndEngineering': '2 - Research': '1 - Lab'],BBF0480,CPD0474,DRJ0070,FKS0069,HSK0479,ITM0068,KJH0475,KMG0062,NRR0476,PTV0067,RKM0478,ROA0482,ROB0477,SKW0066,SMB0473,VDB0481,
['1 - Executive': '2 - ResearchAndEngineering': '2 - Research': '2 - Lab'],ABM0890,ACH0937,BDC0936,CKM0939,COG0940,DOR0935,GPH0932,ILJ0929,KFH0943,KLM0941,MLH0942,ODA0931,OJC0930,TMC0934,VLV0933,ZBG0938,
['1 - Executive': '2 - ResearchAndEngineering': '2 - Research': '3 - Lab'],AFP1341,CCG1347,EHJ1339,GAT1343,GVM1337,HOS1349,JQS1350,KRC1348,LCR1344,MAB1340,MGG1342,PKF1346,QNB1329,TDH1351,XNC1338,ZAD1345,
['1 - Executive': '2 - ResearchAndEngineering': '2 - Research': '4 - Lab'],AXP1568,BUE1561,CEH1567,ILH1564,JJL1566,KHH1556,KUB1569,MZV1557,PMC1560,SJC1563,TLW1555,UMH1547,WNB1558,YWF1562,ZNP1565,ZOF1559,
['1 - Executive': '2 - ResearchAndEngineering': '2 - Research': '5 - Lab'],AWK1773,DCK1782,HAB1787,HDW1779,IDC1775,JJW1785,LSO1783,MJA1784,NTV1777,PHG1778,PNA1776,QDB1765,SDW1781,SSH1780,WAH1774,XCC1786,
['1 - Executive': '2 - ResearchAndEngineering': '2 - Research': '6 - Lab'],AHJ1993,CBN1983,CMM1987,DAH1996,DBJ1992,DHP1989,DPN1990,FWB1999,HKW1995,ILH2000,KCC1988,RFC1991,USW1994,WCR1998,YSH1997,
['1 - Executive': '2 - ResearchAndEngineering': '3 - SoftwareManagement': ''],CTP0071,EKR0073,NHA0054,
['1 - Executive': '2 - ResearchAndEngineering': '3 - SoftwareManagement': '1 - SQA'],ACW0078,ATB0490,BJG0492,BNS0484,CKC0487,GTC0081,HRR0079,LTP0072,MEW0485,NBH0488,PBC0077,RDM0489,RKF0080,VWM0491,WMS0486,XJH0483,
